FIPS,lat,lon,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,shelter_count_nearby,shelter_capacity_nearby,hospital_count_nearby,hospital_beds_nearby,school_count_nearby,school_capacity_nearby,node_type
12031014203,30.25945646101225,-81.39854409236311,0.055,0.0661,0.0497,0.0465,0.2968,44,0.0,10,0.0,81,0.0,grid
12031014204,30.271892664540587,-81.40895799918756,0.1363,0.0172,0.3574,0.0683,0.5217,44,0.0,11,0.0,91,0.0,grid
12031014205,30.283467932619757,-81.392260315358,0.4771,0.4951,0.2864,0.3528,0.6091,35,0.0,7,0.0,79,0.0,grid
12031014206,30.275875675457556,-81.39053690868816,0.0517,0.1231,0.141,0.1185,0.0765,35,0.0,7,0.0,77,0.0,grid
12031014311,30.306202556932295,-81.53307370172162,0.8844,0.9337,0.502,0.6207,0.8793,53,0.0,21,0.0,198,0.0,grid
12031014312,30.29449095947731,-81.50714919209238,0.3803,0.3375,0.0746,0.5805,0.6767,50,0.0,21,0.0,171,0.0,grid
12031014328,30.34092653147328,-81.50578382466585,0.0761,0.0391,0.225,0.5955,0.1152,53,0.0,18,0.0,173,0.0,grid
12031014329,30.332838190901523,-81.46286323663975,0.1203,0.2306,0.4103,0.4919,0.0284,50,0.0,17,0.0,129,0.0,grid
12031014330,30.361210801283814,-81.4621667470117,0.0738,0.1649,0.3012,0.2096,0.0432,47,0.0,16,0.0,125,0.0,grid
12031014331,30.294983862892078,-81.44867606232593,0.8018,0.7179,0.916,0.5988,0.6854,48,0.0,12,0.0,120,0.0,grid
12031014333,30.3680370303094,-81.50897609737578,0.2858,0.4679,0.4659,0.472,0.0848,47,0.0,18,0.0,173,0.0,grid
12031014334,30.36854439602672,-81.49409620327447,0.3452,0.3252,0.5809,0.4254,0.2692,47,0.0,18,0.0,159,0.0,grid
12031014335,30.348874631893207,-81.4745042373419,0.0929,0.1195,0.3471,0.5165,0.0456,47,0.0,17,0.0,138,0.0,grid
12031014336,30.3304512454288,-81.48109734186103,0.1126,0.1499,0.2138,0.573,0.0988,53,0.0,17,0.0,142,0.0,grid
12031014338,30.311523608021652,-81.52048562283632,0.4128,0.4097,0.5335,0.5102,0.3302,53,0.0,21,0.0,185,0.0,grid
12031014339,30.296866276703387,-81.47412441399743,0.169,0.0197,0.1452,0.6543,0.5519,50,0.0,18,0.0,135,0.0,grid
12031014340,30.312669702793414,-81.47118975242037,0.0381,0.0327,0.3043,0.3073,0.0509,50,0.0,17,0.0,136,0.0,grid
12031014341,30.305507879728747,-81.43492257613536,0.1375,0.0852,0.0878,0.3189,0.4738,48,0.0,11,0.0,109,0.0,grid
12031014342,30.310536135935823,-81.45278713060293,0.6227,0.7473,0.6564,0.4961,0.3611,48,0.0,11,0.0,119,0.0,grid
12031014343,30.312985005854365,-81.51011642150931,0.2174,0.3742,0.4929,0.5819,0.0365,53,0.0,20,0.0,174,0.0,grid
12031014344,30.31233422657362,-81.49548836151926,0.2489,0.1535,0.4264,0.6506,0.2698,50,0.0,19,0.0,156,0.0,grid
12031014408,30.272468388951854,-81.4299417995073,0.4414,0.3911,0.4951,0.3039,0.555,44,0.0,12,0.0,110,0.0,grid
12031014413,30.18174176526157,-81.53825369574244,0.2876,0.1442,0.2961,0.6112,0.5004,78,0.0,15,0.0,157,0.0,grid
12031014414,30.269602496234672,-81.53073284787081,0.4095,0.5347,0.0408,0.6437,0.5548,58,0.0,21,0.0,191,0.0,grid
